PersonPriceID,PersonID,CategoryName,ListedCount,AvgPrice,MaxPrice,MinPrice,SaleCount,GradedCount,GradedSaleCount,GradedAvgPrice,AuctionCount,AuctionSaleCount,AuctionAvgPrice,AuctionMedianPrice,FirstName,LastName,PlayerName,DeceasedYear,ItemAuctionSellPercent
518019,28265,Trading Cards,1380,16.5618,179.95,0.16,417,231,27,29.6104,1166,396,13.3644,8.015,Duke,Snider,Duke Snider,NULL,0.3396226415094339622
518176,28432,Photos,970,19.0237,99.99,0.99,240,425,88,23.484,791,212,16.4778,13.505,Warren,Spahn,Warren Spahn,2003,0.2680151706700379266
518184,28432,Trading Cards,579,31.4002,900.00,0.99,202,245,40,65.8116,399,188,21.8256,14.575,Warren,Spahn,Warren Spahn,2003,0.4711779448621553884
518516,28729,Photos,528,23.5857,79.99,0.99,132,238,38,30.2162,405,104,16.0719,13.27,Willie,Stargell,Willie Stargell,2001,0.2567901234567901234
518523,28729,Trading Cards,520,19.5978,94.88,1.25,171,180,23,36.248,356,163,19.196,12.00,Willie,Stargell,Willie Stargell,2001,0.4578651685393258426
519265,29350,Trading Cards,163,14.4344,59.00,2.04,61,49,8,27.6442,109,57,11.9561,9.99,Bruce,Sutter,Bruce Sutter,NULL,0.5229357798165137614
519285,29358,Photos,480,10.8275,34.99,0.99,92,198,41,10.8278,347,82,9.3197,9.95,Don,Sutton,Don Sutton,NULL,0.2363112391930835734
519292,29358,Trading Cards,477,7.82,107.50,0.99,146,82,12,11.7183,322,133,7.4459,5.50,Don,Sutton,Don Sutton,NULL,0.4130434782608695652
522428,31860,Photos,367,21.8582,89.00,0.99,70,126,13,22.1769,281,53,16.3811,11.00,Earl,Weaver,Earl Weaver,NULL,0.1886120996441281138
522435,31860,Trading Cards,400,11.3362,75.00,0.01,96,89,8,20.5475,277,86,9.3639,7.27,Earl,Weaver,Earl Weaver,NULL,0.3104693140794223826
523115,32364,Photos,507,12.5903,178.50,0.99,93,200,21,10.6415,387,86,11.8244,9.295,Hoyt,Wilhelm,Hoyt Wilhelm,2002,0.2222222222222222222
523121,32364,Trading Cards,310,17.7743,160.00,0.99,93,134,14,19.4821,192,82,16.774,12.01,Hoyt,Wilhelm,Hoyt Wilhelm,2002,0.4270833333333333333
523220,32445,Photos,482,25.1275,1274.95,0.99,124,168,47,21.1926,348,107,13.2395,9.99,Billy,Williams,Billy Williams,NULL,0.3074712643678160919
523226,32445,Trading Cards,519,11.895,62.26,0.82,144,176,18,22.0916,360,131,11.1292,8.30,Billy,Williams,Billy Williams,NULL,0.3638888888888888888
523785,32820,Photos,656,18.6651,90.00,0.99,99,231,13,32.5215,532,92,15.8791,13.385,Dave,Winfield,Dave Winfield,NULL,0.1729323308270676691
523792,32820,Trading Cards,327,14.451,81.00,0.99,98,109,8,28.3675,217,93,13.7339,10.49,Dave,Winfield,Dave Winfield,NULL,0.4285714285714285714
524316,33276,Photos,484,56.8075,229.99,8.00,119,204,35,59.9982,366,101,42.5668,29.95,Carl,Yastrzemski,Carl Yastrzemski,NULL,0.2759562841530054644
524325,33276,Trading Cards,608,47.5881,281.00,1.99,223,222,63,80.5343,455,205,45.8025,31.55,Carl,Yastrzemski,Carl Yastrzemski,NULL,0.4505494505494505494
524541,33397,Photos,381,84.9286,259.00,0.99,96,105,13,37.793,295,58,28.6791,24.245,Robin,Yount,Robin Yount,NULL,0.1966101694915254237
524548,33397,Trading Cards,434,35.0368,485.01,0.39,144,158,20,54.4236,300,129,30.9418,17.16,Robin,Yount,Robin Yount,NULL,0.4300000000000000000
524968,33766,Photos,459,38.2314,199.95,0.99,103,238,32,48.7793,334,97,35.8542,30.09,Don,Drysdale,Don Drysdale,1993,0.2904191616766467065
524975,33766,Trading Cards,364,53.2983,390.00,0.99,136,189,52,70.8838,261,126,52.965,33.665,Don,Drysdale,Don Drysdale,1993,0.4827586206896551724
525176,33978,Photos,400,13.1293,39.99,0.99,73,165,28,13.9283,299,65,12.4381,11.63,Luke,Appling,Luke Appling,1991,0.2173913043478260869
525181,33978,Trading Cards,263,11.5031,46.45,0.99,88,98,21,14.29,158,76,10.5707,8.005,Luke,Appling,Luke Appling,1991,0.4810126582278481012
525203,34054,Photos,553,11.4775,29.00,0.99,98,185,25,11.7069,424,76,9.199,9.95,Billy,Herman,Billy Herman,1992,0.1792452830188679245
525208,34054,Trading Cards,282,19.3816,381.09,0.99,59,89,11,15.7954,161,55,18.4461,7.99,Billy,Herman,Billy Herman,1992,0.3416149068322981366
525474,34689,Photos,1728,158.2543,3749.99,0.99,593,622,140,294.9433,1531,553,155.9308,100.99,Mickey,Mantle,Mickey Mantle,1995,0.3612018288700195950
525482,34689,Trading Cards,392,347.3578,6250.00,9.00,114,206,35,681.865,271,101,337.3949,151.77,Mickey,Mantle,Mickey Mantle,1995,0.3726937269372693726
526398,36940,Photos,501,13.2765,125.00,1.04,75,139,12,17.31,370,58,11.3234,8.995,Phil,Niekro,Phil Niekro,NULL,0.1567567567567567567
526406,36940,Trading Cards,658,8.9295,79.99,0.99,191,160,14,33.7061,469,186,7.7855,4.99,Phil,Niekro,Phil Niekro,NULL,0.3965884861407249466
530091,44113,Trading Cards,170,14.3682,86.01,2.25,79,51,9,26.0666,152,76,13.8167,10.245,Jim,Hunter,Jim Hunter,1999,0.5000000000000000000
535239,57698,Trading Cards,455,5.5085,25.38,0.40,98,163,12,9.7983,278,96,5.3582,4.135,Dick,Williams,Dick Williams,NULL,0.3453237410071942446
535268,57704,Photos,615,27.3873,102.50,1.99,152,207,40,35.443,471,90,21.5762,14.89,Frank,Robinson,Frank Robinson,NULL,0.1910828025477707006
535276,57704,Trading Cards,717,27.3936,200.00,0.39,276,171,36,47.6632,575,244,25.1581,15.28,Frank,Robinson,Frank Robinson,NULL,0.4243478260869565217
535344,57724,Photos,1719,131.0377,1200.00,0.99,578,404,132,189.067,1481,527,127.7234,101.01,Ted,Williams,Ted Williams,2002,0.3558406482106684672
535353,57724,Trading Cards,618,109.9225,2026.99,0.49,146,139,31,117.7996,449,124,119.1438,43.645,Ted,Williams,Ted Williams,2002,0.2761692650334075723
536012,57966,Photos,362,28.5813,99.99,2.31,95,117,18,25.1306,276,52,15.2413,13.755,Red,Schoendienst,Red Schoendienst,NULL,0.1884057971014492753
536020,57966,Trading Cards,406,17.418,225.03,1.26,105,159,12,28.6441,263,86,15.4748,10.495,Red,Schoendienst,Red Schoendienst,NULL,0.3269961977186311787
